txn_id,customer_id,ts,amount_usd,score,light,reasons
804947,2067,2025-12-24 15:12:06,257.31,0.9551146510433712,RED,"n_prev_1h, n_prev_24h, foreign"
803368,128,2025-12-23 22:00:00,75.23,0.4386008286621003,RED,"new_device, n_prev_24h, foreign"
805692,2690,2025-12-25 01:22:31,288.69,0.3067391620757849,RED,"new_device, foreign, night"
802490,3381,2025-12-23 13:48:32,169.69,0.2603745883483528,RED,"n_prev_1h, n_prev_24h, foreign"
821433,146,2025-12-31 23:42:32,144.15,0.16073749102849128,RED,"new_device, n_prev_24h, night"
816928,676,2025-12-30 02:17:12,110.89,0.14908871145572325,RED,"new_device, foreign, night"
801228,128,2025-12-23 00:21:56,45.87,0.13729669807436953,RED,"new_device, foreign, night"
804265,2507,2025-12-24 11:40:15,166.44,0.13543039031867032,RED,"n_prev_1h, foreign, n_prev_24h"
805680,3447,2025-12-24 23:59:24,151.23,0.11946844037357672,AMBER,"new_device, foreign, night"
819274,1755,2025-12-31 05:49:42,38.82,0.11077443894287846,AMBER,"new_device, foreign, night"
820462,1173,2025-12-31 13:51:18,117.64,0.0857505454137782,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
799019,85,2025-12-22 03:46:12,15.93,0.08158175394401393,AMBER,"new_device, foreign, night"
810288,1967,2025-12-27 04:32:55,196.21,0.07115618988514047,AMBER,"n_prev_1h, night, n_prev_24h"
802854,784,2025-12-23 15:56:14,273.62,0.0709855209193006,AMBER,"new_device, foreign, log_amt"
811853,2815,2025-12-27 15:37:41,74.87,0.06820931053905145,AMBER,"n_prev_1h, foreign, n_prev_24h"
812551,1397,2025-12-28 02:59:57,47.86,0.06760073327214444,AMBER,"new_device, night, n_prev_24h"
809589,2594,2025-12-26 15:35:47,172.02,0.054891194652110974,AMBER,"new_device, foreign, log_amt"
810235,2906,2025-12-27 01:53:55,287.31,0.053143701240802234,AMBER,"new_device, night, log_amt"
816844,2056,2025-12-29 21:23:49,183.28,0.05311321916647886,AMBER,"new_device, foreign, log_amt"
812915,1173,2025-12-28 08:42:56,150.19,0.04443003694757176,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
819489,146,2025-12-31 08:12:44,82.97,0.04234468334795652,AMBER,"new_device, foreign, hour"
817388,2739,2025-12-30 09:36:36,70.24,0.041948911787478574,AMBER,"new_device, foreign, hour"
812541,1022,2025-12-28 02:27:33,192.86,0.04167554196016399,AMBER,"new_device, night, log_amt"
807933,3245,2025-12-26 00:59:22,164.9,0.041509622841217036,AMBER,"new_device, night, hour"
821261,1222,2025-12-31 19:20:23,137.7,0.039562240841084576,AMBER,"new_device, foreign, log_amt"
804863,2067,2025-12-24 14:42:37,156.6,0.03838209064094962,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
821384,54,2025-12-31 21:40:18,145.93,0.03356795163360706,AMBER,"new_device, foreign, log_amt"
799028,190,2025-12-22 04:01:21,313.68,0.03269948930000739,AMBER,"foreign, night, n_prev_24h"
806454,2067,2025-12-25 11:20:07,149.15,0.032098991792430934,AMBER,"n_prev_24h, foreign, log_amt"
799297,2109,2025-12-22 08:01:56,49.13,0.03073922959520269,AMBER,"new_device, foreign, hour"
820416,1988,2025-12-31 13:37:43,73.87,0.030151075799997026,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
813085,2896,2025-12-28 10:03:08,272.95,0.02991831204103385,AMBER,"new_device, n_prev_24h, log_amt"
821263,1713,2025-12-31 19:21:13,565.25,0.02974630361964091,AMBER,"n_prev_1h, n_prev_24h, log_amt"
799579,1843,2025-12-22 10:08:07,172.47,0.02964675330627543,AMBER,"new_device, n_prev_24h, log_hrs_since_prev"
820128,1173,2025-12-31 12:17:26,246.71,0.029516798426664093,AMBER,"new_device, n_prev_24h, log_amt"
817688,317,2025-12-30 11:20:31,330.62,0.029489658738839797,AMBER,"n_prev_1h, n_prev_24h, log_amt"
798976,1532,2025-12-22 00:41:38,38.11,0.029108194836001057,AMBER,"n_prev_24h, foreign, night"
800208,3250,2025-12-22 13:40:09,405.28,0.0277176840930073,AMBER,"n_prev_1h, n_prev_24h, log_amt"
814770,2761,2025-12-29 00:47:39,145.04,0.026232683930769562,AMBER,"foreign, night, n_prev_24h"
814825,2652,2025-12-29 04:25:43,66.05,0.024305630561714534,AMBER,"new_device, night, hour"
806073,2835,2025-12-25 08:53:40,33.19,0.0241794972855759,AMBER,"new_device, foreign, hour"
812558,3357,2025-12-28 03:13:44,118.63,0.022591067526000222,AMBER,"new_device, night, hour"
813593,2493,2025-12-28 12:40:23,232.03,0.022466903580188883,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
812177,1600,2025-12-27 17:49:42,28.29,0.020335829638849837,AMBER,"new_device, foreign, log_hrs_since_prev"
810182,404,2025-12-26 22:45:22,340.76,0.02028467615548008,AMBER,"foreign, night, n_prev_24h"
802088,2678,2025-12-23 11:45:54,197.23,0.020128514329870832,AMBER,"n_prev_1h, n_prev_24h, log_hrs_since_prev"
799086,2186,2025-12-22 05:34:53,109.46,0.019928451213766213,AMBER,"new_device, night, hour"
